Gmt time,Open,High,Low,Close,Volume
25.06.2018 00:25:00.000,1.16582,1.16601,1.16543,1.16546,1153.1599999999999
25.06.2018 00:30:00.000,1.16547,1.16578,1.16520,1.16576,1351.9399999999998
25.06.2018 00:35:00.000,1.16576,1.16611,1.16573,1.16606,980.4000000000001
25.06.2018 00:40:00.000,1.16607,1.16617,1.16566,1.16579,836.7199999999999
25.06.2018 00:45:00.000,1.16579,1.16600,1.16575,1.16600,601.25
25.06.2018 00:50:00.000,1.16600,1.16600,1.16541,1.16541,1187.26
25.06.2018 00:55:00.000,1.16543,1.16589,1.16536,1.16570,1179.5800000000002
25.06.2018 01:00:00.000,1.16569,1.16577,1.16526,1.16547,1060.66
25.06.2018 01:05:00.000,1.16547,1.16580,1.16544,1.16571,840.93
25.06.2018 01:10:00.000,1.16571,1.16572,1.16550,1.16557,900.66
25.06.2018 01:15:00.000,1.16557,1.16572,1.16507,1.16507,1137.01
25.06.2018 01:20:00.000,1.16509,1.16553,1.16501,1.16533,1057.29
25.06.2018 01:25:00.000,1.16533,1.16554,1.16516,1.16527,756.37
25.06.2018 01:30:00.000,1.16528,1.16559,1.16527,1.16530,1271.65
25.06.2018 01:35:00.000,1.16532,1.16573,1.16522,1.16560,1144.62
25.06.2018 01:40:00.000,1.16559,1.16573,1.16553,1.16573,789.96
25.06.2018 01:45:00.000,1.16573,1.16607,1.16564,1.16599,1050.6999999999998
25.06.2018 01:50:00.000,1.16598,1.16606,1.16580,1.16580,883.5300000000001
25.06.2018 01:55:00.000,1.16581,1.16583,1.16555,1.16567,1093.34
25.06.2018 02:00:00.000,1.16568,1.16578,1.16556,1.16565,675.85
25.06.2018 02:05:00.000,1.16565,1.16565,1.16527,1.16541,766.36
25.06.2018 02:10:00.000,1.16542,1.16570,1.16539,1.16563,1036.1
25.06.2018 02:15:00.000,1.16564,1.16583,1.16556,1.16556,670.12
25.06.2018 02:20:00.000,1.16555,1.16582,1.16555,1.16567,761.75
25.06.2018 02:25:00.000,1.16566,1.16576,1.16538,1.16542,1010.8199999999999
25.06.2018 02:30:00.000,1.16542,1.16542,1.16505,1.16509,757.62
25.06.2018 02:35:00.000,1.16510,1.16512,1.16480,1.16481,743.51
25.06.2018 02:40:00.000,1.16482,1.16512,1.16476,1.16511,600.8900000000001
25.06.2018 02:45:00.000,1.16511,1.16512,1.16496,1.16502,606.61
25.06.2018 02:50:00.000,1.16499,1.16522,1.16497,1.16511,605.1
25.06.2018 02:55:00.000,1.16513,1.16520,1.16473,1.16473,737.42
25.06.2018 03:00:00.000,1.16474,1.16503,1.16466,1.16486,827.18
25.06.2018 03:05:00.000,1.16486,1.16491,1.16467,1.16483,349.08
25.06.2018 03:10:00.000,1.16481,1.16509,1.16479,1.16498,738.99
25.06.2018 03:15:00.000,1.16498,1.16518,1.16490,1.16512,623.7
25.06.2018 03:20:00.000,1.16510,1.16533,1.16509,1.16533,537.3000000000001
25.06.2018 03:25:00.000,1.16533,1.16533,1.16498,1.16510,751.16
25.06.2018 03:30:00.000,1.16510,1.16535,1.16510,1.16527,871.3899999999999
25.06.2018 03:35:00.000,1.16528,1.16539,1.16517,1.16518,649.9200000000001
25.06.2018 03:40:00.000,1.16517,1.16534,1.16514,1.16530,550.17
25.06.2018 03:45:00.000,1.16528,1.16551,1.16522,1.16544,859.34
25.06.2018 03:50:00.000,1.16544,1.16566,1.16544,1.16564,555.19
25.06.2018 03:55:00.000,1.16564,1.16570,1.16548,1.16564,680.02
25.06.2018 04:00:00.000,1.16564,1.16570,1.16540,1.16549,509.02
25.06.2018 04:05:00.000,1.16549,1.16566,1.16547,1.16562,594.23
25.06.2018 04:10:00.000,1.16561,1.16568,1.16544,1.16548,631.73
25.06.2018 04:15:00.000,1.16548,1.16565,1.16544,1.16559,391.92999999999995
25.06.2018 04:20:00.000,1.16560,1.16565,1.16537,1.16540,572.11
25.06.2018 04:25:00.000,1.16540,1.16540,1.16518,1.16539,675.41
25.06.2018 04:30:00.000,1.16539,1.16545,1.16537,1.16543,423.57
25.06.2018 04:35:00.000,1.16544,1.16544,1.16504,1.16519,673.59
25.06.2018 04:40:00.000,1.16520,1.16531,1.16519,1.16524,426.19
25.06.2018 04:45:00.000,1.16524,1.16536,1.16514,1.16535,371.83
25.06.2018 04:50:00.000,1.16535,1.16546,1.16528,1.16544,354.64
25.06.2018 04:55:00.000,1.16544,1.16544,1.16522,1.16525,402.58000000000004
25.06.2018 05:00:00.000,1.16528,1.16552,1.16528,1.16541,484.18999999999994
25.06.2018 05:05:00.000,1.16541,1.16570,1.16540,1.16540,567.68
25.06.2018 05:10:00.000,1.16539,1.16556,1.16533,1.16534,685.61
25.06.2018 05:15:00.000,1.16534,1.16556,1.16530,1.16535,667.1400000000001
25.06.2018 05:20:00.000,1.16534,1.16535,1.16502,1.16508,567.92
25.06.2018 05:25:00.000,1.16509,1.16520,1.16471,1.16473,687.04
25.06.2018 05:30:00.000,1.16473,1.16479,1.16448,1.16453,715.9300000000001
25.06.2018 05:35:00.000,1.16453,1.16464,1.16418,1.16438,863.02
25.06.2018 05:40:00.000,1.16437,1.16467,1.16431,1.16465,743.4
25.06.2018 05:45:00.000,1.16464,1.16466,1.16409,1.16411,909.5899999999999
25.06.2018 05:50:00.000,1.16411,1.16432,1.16400,1.16409,933.8599999999999
25.06.2018 05:55:00.000,1.16410,1.16423,1.16396,1.16419,717.8
25.06.2018 06:00:00.000,1.16421,1.16432,1.16351,1.16392,1194.2099999999998
25.06.2018 06:05:00.000,1.16393,1.16414,1.16353,1.16369,1424.3200000000002
25.06.2018 06:10:00.000,1.16368,1.16429,1.16363,1.16427,1257.6399999999999
25.06.2018 06:15:00.000,1.16427,1.16441,1.16406,1.16439,1182.02
25.06.2018 06:20:00.000,1.16438,1.16479,1.16428,1.16437,1628.6299999999999
25.06.2018 06:25:00.000,1.16434,1.16441,1.16387,1.16402,1391.45
25.06.2018 06:30:00.000,1.16400,1.16463,1.16400,1.16447,1480.05
25.06.2018 06:35:00.000,1.16453,1.16471,1.16396,1.16424,1239.0000000000002
25.06.2018 06:40:00.000,1.16423,1.16466,1.16411,1.16450,788.79
25.06.2018 06:45:00.000,1.16449,1.16483,1.16405,1.16413,984.43
25.06.2018 06:50:00.000,1.16414,1.16461,1.16406,1.16451,1253.9499999999998
25.06.2018 06:55:00.000,1.16453,1.16453,1.16301,1.16312,1501.18
25.06.2018 07:00:00.000,1.16311,1.16364,1.16290,1.16363,1860.6399999999999
25.06.2018 07:05:00.000,1.16360,1.16407,1.16346,1.16379,1497.3799999999999
25.06.2018 07:10:00.000,1.16379,1.16387,1.16291,1.16312,1650.25
25.06.2018 07:15:00.000,1.16313,1.16385,1.16312,1.16327,1793.55
25.06.2018 07:20:00.000,1.16326,1.16379,1.16321,1.16368,1660.04
25.06.2018 07:25:00.000,1.16369,1.16389,1.16324,1.16342,1390.2
25.06.2018 07:30:00.000,1.16343,1.16389,1.16330,1.16379,1158.66
25.06.2018 07:35:00.000,1.16379,1.16406,1.16362,1.16388,1248.85
25.06.2018 07:40:00.000,1.16386,1.16444,1.16383,1.16439,1200.6100000000001
25.06.2018 07:45:00.000,1.16439,1.16439,1.16382,1.16406,1383.13
